"rules","support","confidence","coverage","lift","count"
"{Hamburger.Buns= true} => {X98pct..Fat.Free.Hamburger= true}",0.0484937545922116,0.680412371134021,0.0712711241734019,7.2916632843575,66
"{X98pct..Fat.Free.Hamburger= true} => {Hamburger.Buns= true}",0.0484937545922116,0.519685039370079,0.0933137398971345,7.2916632843575,66
"{Hot.Dog.Buns= true} => {Hot.Dogs= true}",0.0418809698750918,0.7125,0.0587803085966201,7.69613095238095,57
"{Pepperoni.Pizza...Frozen= true} => {Eggs= true}",0.0389419544452608,0.563829787234043,0.0690668626010287,4.5950439546439,53
"{Tomatoes= true} => {White.Bread= true}",0.0404114621601763,0.611111111111111,0.0661278471711976,5.1340877914952,55
"{Toilet.Paper= true} => {White.Bread= true}",0.0374724467303453,0.504950495049505,0.0742101396032329,4.24220755408874,51
"{Aspirin= true} => {Eggs= true}",0.0382072005878031,0.571428571428571,0.0668626010286554,4.65697177074423,52
"{Aspirin= true} => {White.Bread= true}",0.0418809698750918,0.626373626373626,0.0668626010286554,5.26231176231176,57
"{Wheat.Bread= true} => {X2pct..Milk= true}",0.0426157237325496,0.552380952380952,0.0771491550330639,5.04557366570789,58
"{Wheat.Bread= true} => {Eggs= true}",0.0404114621601763,0.523809523809524,0.0771491550330639,4.26889078984887,55
"{Wheat.Bread= true} => {White.Bread= true}",0.0433504775900073,0.561904761904762,0.0771491550330639,4.7206937095826,59
"{Cola= true} => {X2pct..Milk= true}",0.0404114621601763,0.518867924528302,0.0778839088905217,4.73945802203368,55
"{Cola= true} => {Eggs= true}",0.0404114621601763,0.518867924528302,0.0778839088905217,4.22861823522766,55
"{Cola= true} => {White.Bread= true}",0.0404114621601763,0.518867924528302,0.0778839088905217,4.35913114372234,55
"{X98pct..Fat.Free.Hamburger= true} => {White.Bread= true}",0.0492285084496694,0.52755905511811,0.0933137398971345,4.43214737046758,67
"{Sweet.Relish= true} => {Hot.Dogs= true}",0.0470242468772961,0.551724137931034,0.0852314474650992,5.95949644225506,64
"{Hot.Dogs= true} => {Sweet.Relish= true}",0.0470242468772961,0.507936507936508,0.0925789860396767,5.95949644225506,64
"{Sweet.Relish= true} => {Eggs= true}",0.0448199853049229,0.525862068965517,0.0852314474650992,4.28561841833574,61
"{Onions= true} => {X2pct..Milk= true}",0.0411462160176341,0.513761467889908,0.0800881704628949,4.69281448186688,56
"{Onions= true} => {Eggs= true}",0.0404114621601763,0.504587155963303,0.0800881704628949,4.11223424710213,55
"{Onions= true} => {White.Bread= true}",0.0426157237325496,0.532110091743119,0.0800881704628949,4.47038169668139,58
"{Potatoes= true} => {Eggs= true}",0.0455547391623806,0.525423728813559,0.0867009551800147,4.28204607733685,62
"{Toothpaste= true} => {X2pct..Milk= true}",0.0433504775900073,0.546296296296296,0.0793534166054372,4.98999502858563,59
"{Toothpaste= true} => {Eggs= true}",0.0448199853049229,0.564814814814815,0.0793534166054372,4.60307163450876,61
"{Toothpaste= true} => {White.Bread= true}",0.0477590007347539,0.601851851851852,0.0793534166054372,5.05629858253315,65
"{Potato.Chips= true} => {White.Bread= true}",0.0514327700220426,0.526315789473684,0.097722263041881,4.42170240415854,70
