,RM_DT,RM_NB,RM_LR,RM_NN,R_DT,R_NB,R_LR,R_NN
1,no,no,no,no,no,no,no,no
2,yes,yes,yes,yes,yes,yes,yes,no
3,no,yes,yes,yes,yes,yes,yes,yes
4,yes,yes,yes,yes,yes,yes,yes,yes
5,yes,no,no,yes,no,no,no,no
6,no,yes,yes,no,yes,yes,yes,yes
7,no,no,no,no,no,no,no,no
8,yes,no,yes,yes,yes,no,no,yes
9,no,no,no,yes,no,no,no,no
10,yes,no,yes,yes,yes,no,no,yes
11,no,yes,yes,yes,yes,yes,yes,yes
12,yes,yes,yes,yes,no,yes,yes,no
13,yes,no,no,no,no,no,no,yes
14,no,no,no,yes,no,no,no,yes
15,yes,yes,yes,yes,yes,yes,yes,yes
16,yes,yes,yes,yes,yes,yes,yes,no
17,no,no,no,no,no,no,no,no
18,yes,yes,yes,yes,no,yes,yes,yes
19,no,yes,yes,yes,yes,yes,yes,yes
20,no,no,no,yes,no,no,no,yes
